Time (s)  Flap Rotation y (radians)Flap Rotation y (degrees)
19.89               0.1530          8.7695
19.92               0.1526          8.7491
19.95               0.1523          8.7278
19.98               0.1519          8.7056
20.01               0.1515          8.6827
20.04               0.1510          8.6589
20.07               0.1506          8.6343
20.10               0.1502          8.6089
20.13               0.1497          8.5826
20.16               0.1492          8.5556
20.19               0.1488          8.5277
20.22               0.1483          8.4990
20.25               0.1477          8.4695
20.28               0.1472          8.4393
20.31               0.1467          8.4082
20.34               0.1461          8.3763
20.37               0.1456          8.3437
20.40               0.1450          8.3102
20.43               0.1444          8.2760
20.46               0.1438          8.2410
20.49               0.1431          8.2052
20.52               0.1425          8.1686
20.55               0.1418          8.1313
20.58               0.1412          8.0932
20.61               0.1405          8.0543
20.64               0.1398          8.0147
20.67               0.1391          7.9744
20.70               0.1384          7.9333
20.73               0.1377          7.8914
20.76               0.1369          7.8488
20.79               0.1362          7.8055
20.82               0.1354          7.7614
20.85               0.1346          7.7166
20.88               0.1338          7.6711
20.91               0.1330          7.6249
20.94               0.1322          7.5780
20.97               0.1314          7.5303
21.00               0.1305          7.4820
21.03               0.1297          7.4329
21.06               0.1288          7.3832
21.09               0.1279          7.3328
21.12               0.1270          7.2817
21.15               0.1261          7.2299
21.18               0.1252          7.1774
21.21               0.1243          7.1243
21.24               0.1233          7.0705
21.27               0.1224          7.0161
21.30               0.1214          6.9610
21.33               0.1205          6.9052
21.36               0.1195          6.8489
21.39               0.1185          6.7919
21.42               0.1175          6.7342
21.45               0.1165          6.6759
21.48               0.1154          6.6171
21.51               0.1144          6.5576
21.54               0.1133          6.4975
21.57               0.1123          6.4368
21.60               0.1112          6.3755
21.63               0.1101          6.3136
21.66               0.1090          6.2511
21.69               0.1079          6.1881
21.72               0.1068          6.1245
21.75               0.1057          6.0603
21.78               0.1046          5.9956
21.81               0.1035          5.9303
21.84               0.1023          5.8644
21.87               0.1011          5.7981
21.90               0.1000          5.7312
21.93               0.0988          5.6637
21.96               0.0976          5.5958
21.99               0.0964          5.5273
22.02               0.0952          5.4584
22.05               0.0940          5.3889
22.08               0.0928          5.3189
22.11               0.0916          5.2485
22.14               0.0903          5.1776
22.17               0.0891          5.1062
22.20               0.0878          5.0343
22.23               0.0866          4.9620
22.26               0.0853          4.8892
22.29               0.0840          4.8159
22.32               0.0827          4.7423
22.35               0.0814          4.6682
22.38               0.0801          4.5937
22.41               0.0788          4.5187
22.44               0.0775          4.4434
22.47               0.0762          4.3676
22.50               0.0749          4.2914
22.53               0.0735          4.2149
22.56               0.0722          4.1380
22.59               0.0708          4.0607
22.62               0.0695          3.9830
22.65               0.0681          3.9050
22.68               0.0668          3.8266
22.71               0.0654          3.7478
22.74               0.0640          3.6688
22.77               0.0626          3.5894
22.80               0.0612          3.5096
22.83               0.0598          3.4296
22.86               0.0584          3.3492
22.89               0.0570          3.2686
22.92               0.0556          3.1876
22.95               0.0542          3.1064
22.98               0.0528          3.0249
23.01               0.0513          2.9431
23.04               0.0499          2.8611
23.07               0.0485          2.7788
23.10               0.0470          2.6962
23.13               0.0456          2.6134
23.16               0.0441          2.5304
23.19               0.0427          2.4472
23.22               0.0412          2.3637
23.25               0.0398          2.2800
23.28               0.0383          2.1961
23.31               0.0368          2.1121
23.34               0.0354          2.0278
23.37               0.0339          1.9434
23.40               0.0324          1.8588
23.43               0.0309          1.7740
23.46               0.0295          1.6891
23.49               0.0280          1.6040
23.52               0.0265          1.5188
23.55               0.0250          1.4334
23.58               0.0235          1.3480
23.61               0.0220          1.2624
23.64               0.0205          1.1767
23.67               0.0190          1.0909
23.70               0.0175          1.0050
23.73               0.0160          0.9190
23.76               0.0145          0.8330
23.79               0.0130          0.7469
23.82               0.0115          0.6607
23.85               0.0100          0.5745
23.88               0.0085          0.4882
23.91               0.0070          0.4019
23.94               0.0055          0.3155
23.97               0.0040          0.2292
24.00               0.0025          0.1428
24.03               0.0010          0.0564
24.06              -0.0005         -0.0299
24.09              -0.0020         -0.1163
24.12              -0.0035         -0.2027
24.15              -0.0050         -0.2890
24.18              -0.0065         -0.3753
24.21              -0.0081         -0.4615
24.24              -0.0096         -0.5477
24.27              -0.0111         -0.6338
24.30              -0.0126         -0.7199
24.33              -0.0141         -0.8059
24.36              -0.0156         -0.8918
24.39              -0.0171         -0.9777
24.42              -0.0186         -1.0634
24.45              -0.0200         -1.1490
24.48              -0.0215         -1.2345
24.51              -0.0230         -1.3199
24.54              -0.0245         -1.4052
24.57              -0.0260         -1.4903
24.60              -0.0275         -1.5753
24.63              -0.0290         -1.6601
24.66              -0.0304         -1.7448
24.69              -0.0319         -1.8293
24.72              -0.0334         -1.9136
24.75              -0.0349         -1.9978
24.78              -0.0363         -2.0817
24.81              -0.0378         -2.1655
24.84              -0.0392         -2.2490
24.87              -0.0407         -2.3324
24.90              -0.0421         -2.4155
24.93              -0.0436         -2.4984
24.96              -0.0450         -2.5810
24.99              -0.0465         -2.6634
25.02              -0.0479         -2.7456
25.05              -0.0493         -2.8275
25.08              -0.0507         -2.9091
25.11              -0.0522         -2.9905
25.14              -0.0536         -3.0716
25.17              -0.0550         -3.1523
25.20              -0.0564         -3.2328
25.23              -0.0578         -3.3130
25.26              -0.0592         -3.3929
25.29              -0.0606         -3.4724
25.32              -0.0620         -3.5517
25.35              -0.0633         -3.6306
25.38              -0.0647         -3.7091
25.41              -0.0661         -3.7873
25.44              -0.0674         -3.8651
