Time (s)    Heave_Spectrum (m)    Heave_Eta (m)    Difference (m)
   104.370         -1.81070298       -1.81070298        4.8297e-12
   104.385         -1.81308694       -1.81308694        4.8854e-12
   104.400         -1.81551841       -1.81551841        4.9394e-12
   104.415         -1.81799761       -1.81799761        4.9913e-12
   104.430         -1.82052472       -1.82052472        5.0413e-12
   104.445         -1.82309994       -1.82309994        5.0893e-12
   104.460         -1.82572343       -1.82572343        5.1352e-12
   104.475         -1.82839534       -1.82839534        5.1792e-12
   104.490         -1.83111578       -1.83111578        5.2209e-12
   104.505         -1.83388488       -1.83388488        5.2607e-12
   104.520         -1.83670271       -1.83670271        5.2982e-12
   104.535         -1.83956936       -1.83956936        5.3337e-12
   104.550         -1.84248488       -1.84248488        5.3668e-12
   104.565         -1.84544930       -1.84544930        5.3977e-12
   104.580         -1.84846263       -1.84846263        5.4263e-12
   104.595         -1.85152487       -1.85152487        5.4525e-12
   104.610         -1.85463600       -1.85463600        5.4765e-12
   104.625         -1.85779596       -1.85779596        5.4980e-12
   104.640         -1.86100470       -1.86100470        5.5171e-12
   104.655         -1.86426213       -1.86426213        5.5338e-12
   104.670         -1.86756815       -1.86756815        5.5480e-12
   104.685         -1.87092262       -1.87092262        5.5598e-12
   104.700         -1.87432541       -1.87432541        5.5691e-12
   104.715         -1.87777634       -1.87777634        5.5758e-12
   104.730         -1.88127524       -1.88127524        5.5798e-12
   104.745         -1.88482188       -1.88482188        5.5813e-12
   104.760         -1.88841606       -1.88841606        5.5802e-12
   104.775         -1.89205751       -1.89205751        5.5767e-12
   104.790         -1.89574598       -1.89574598        5.5702e-12
   104.805         -1.89948116       -1.89948116        5.5613e-12
   104.820         -1.90326275       -1.90326275        5.5498e-12
   104.835         -1.90709042       -1.90709042        5.5356e-12
   104.850         -1.91096381       -1.91096381        5.5187e-12
   104.865         -1.91488256       -1.91488256        5.4992e-12
   104.880         -1.91884627       -1.91884627        5.4765e-12
   104.895         -1.92285453       -1.92285453        5.4512e-12
   104.910         -1.92690691       -1.92690691        5.4234e-12
   104.925         -1.93100295       -1.93100295        5.3926e-12
   104.940         -1.93514217       -1.93514217        5.3590e-12
   104.955         -1.93932408       -1.93932408        5.3229e-12
   104.970         -1.94354817       -1.94354817        5.2840e-12
   104.985         -1.94781390       -1.94781390        5.2423e-12
   105.000         -1.95212071       -1.95212071        5.1976e-12
   105.015         -1.95646804       -1.95646804        5.1503e-12
   105.030         -1.96085528       -1.96085528        5.1004e-12
   105.045         -1.96528181       -1.96528181        5.0475e-12
   105.060         -1.96974701       -1.96974701        4.9918e-12
   105.075         -1.97425022       -1.97425022        4.9334e-12
   105.090         -1.97879077       -1.97879077        4.8721e-12
   105.105         -1.98336796       -1.98336796        4.8082e-12
   105.120         -1.98798107       -1.98798107        4.7415e-12
   105.135         -1.99262939       -1.99262939        4.6720e-12
   105.150         -1.99731215       -1.99731215        4.5999e-12
   105.165         -2.00202859       -2.00202859        4.5248e-12
   105.180         -2.00677792       -2.00677792        4.4476e-12
   105.195         -2.01155934       -2.01155934        4.3672e-12
   105.210         -2.01637201       -2.01637201        4.2846e-12
   105.225         -2.02121510       -2.02121510        4.1989e-12
   105.240         -2.02608775       -2.02608775        4.1105e-12
   105.255         -2.03098907       -2.03098907        4.0199e-12
   105.270         -2.03591818       -2.03591818        3.9266e-12
   105.285         -2.04087415       -2.04087415        3.8307e-12
   105.300         -2.04585606       -2.04585606        3.7321e-12
   105.315         -2.05086296       -2.05086296        3.6313e-12
   105.330         -2.05589388       -2.05589388        3.5274e-12
   105.345         -2.06094785       -2.06094785        3.4213e-12
   105.360         -2.06602386       -2.06602386        3.3129e-12
   105.375         -2.07112091       -2.07112091        3.2019e-12
   105.390         -2.07623797       -2.07623797        3.0886e-12
   105.405         -2.08137398       -2.08137398        2.9732e-12
   105.420         -2.08652789       -2.08652789        2.8555e-12
   105.435         -2.09169863       -2.09169863        2.7351e-12
   105.450         -2.09688511       -2.09688511        2.6130e-12
   105.465         -2.10208621       -2.10208621        2.4882e-12
   105.480         -2.10730083       -2.10730083        2.3617e-12
   105.495         -2.11252783       -2.11252783        2.2329e-12
   105.510         -2.11776606       -2.11776606        2.1019e-12
   105.525         -2.12301436       -2.12301436        1.9691e-12
   105.540         -2.12827156       -2.12827156        1.8341e-12
   105.555         -2.13353648       -2.13353648        1.6973e-12
   105.570         -2.13880792       -2.13880792        1.5588e-12
   105.585         -2.14408466       -2.14408466        1.4184e-12
   105.600         -2.14936549       -2.14936549        1.2763e-12
   105.615         -2.15464917       -2.15464917        1.1324e-12
   105.630         -2.15993445       -2.15993445        9.8677e-13
   105.645         -2.16522009       -2.16522009        8.3977e-13
   105.660         -2.17050482       -2.17050482        6.9100e-13
   105.675         -2.17578736       -2.17578736        5.4090e-13
   105.690         -2.18106642       -2.18106642        3.8947e-13
   105.705         -2.18634072       -2.18634072        2.3670e-13
   105.720         -2.19160895       -2.19160895        8.2601e-14
   105.735         -2.19686979       -2.19686979       -7.2831e-14
   105.750         -2.20212194       -2.20212194       -2.2959e-13
   105.765         -2.20736406       -2.20736406       -3.8725e-13
   105.780         -2.21259482       -2.21259482       -5.4623e-13
   105.795         -2.21781288       -2.21781288       -7.0610e-13
   105.810         -2.22301689       -2.22301689       -8.6686e-13
   105.825         -2.22820551       -2.22820551       -1.0285e-12
   105.840         -2.23337737       -2.23337737       -1.1910e-12
   105.855         -2.23853110       -2.23853110       -1.3540e-12
   105.870         -2.24366536       -2.24366536       -1.5179e-12
   105.885         -2.24877876       -2.24877876       -1.6822e-12
   105.900         -2.25386993       -2.25386993       -1.8474e-12
   105.915         -2.25893750       -2.25893750       -2.0131e-12
   105.930         -2.26398008       -2.26398008       -2.1787e-12
   105.945         -2.26899630       -2.26899630       -2.3448e-12
   105.960         -2.27398478       -2.27398478       -2.5109e-12
   105.975         -2.27894412       -2.27894412       -2.6774e-12
   105.990         -2.28387296       -2.28387296       -2.8439e-12
   106.005         -2.28876991       -2.28876991       -3.0109e-12
   106.020         -2.29363358       -2.29363358       -3.1775e-12
   106.035         -2.29846260       -2.29846260       -3.3440e-12
   106.050         -2.30325558       -2.30325558       -3.5101e-12
   106.065         -2.30801117       -2.30801117       -3.6762e-12
   106.080         -2.31272797       -2.31272797       -3.8418e-12
   106.095         -2.31740463       -2.31740463       -4.0070e-12
   106.110         -2.32203978       -2.32203978       -4.1718e-12
   106.125         -2.32663206       -2.32663206       -4.3361e-12
   106.140         -2.33118012       -2.33118012       -4.4995e-12
   106.155         -2.33568261       -2.33568261       -4.6625e-12
   106.170         -2.34013819       -2.34013819       -4.8241e-12
   106.185         -2.34454553       -2.34454553       -4.9849e-12
   106.200         -2.34890330       -2.34890330       -5.1452e-12
   106.215         -2.35321018       -2.35321018       -5.3046e-12
   106.230         -2.35746487       -2.35746487       -5.4627e-12
   106.245         -2.36166607       -2.36166607       -5.6195e-12
   106.260         -2.36581250       -2.36581250       -5.7754e-12
   106.275         -2.36990287       -2.36990287       -5.9299e-12
   106.290         -2.37393591       -2.37393591       -6.0827e-12
   106.305         -2.37791038       -2.37791038       -6.2346e-12
   106.320         -2.38182504       -2.38182504       -6.3847e-12
   106.335         -2.38567866       -2.38567866       -6.5334e-12
   106.350         -2.38947002       -2.38947002       -6.6804e-12
   106.365         -2.39319793       -2.39319793       -6.8257e-12
   106.380         -2.39686120       -2.39686120       -6.9686e-12
   106.395         -2.40045867       -2.40045867       -7.1099e-12
   106.410         -2.40398918       -2.40398918       -7.2493e-12
   106.425         -2.40745159       -2.40745159       -7.3865e-12
   106.440         -2.41084480       -2.41084480       -7.5224e-12
   106.455         -2.41416770       -2.41416770       -7.6557e-12
   106.470         -2.41741921       -2.41741921       -7.7871e-12
   106.485         -2.42059827       -2.42059827       -7.9163e-12
   106.500         -2.42370384       -2.42370384       -8.0429e-12
   106.515         -2.42673490       -2.42673490       -8.1677e-12
   106.530         -2.42969043       -2.42969043       -8.2894e-12
   106.545         -2.43256948       -2.43256948       -8.4088e-12
   106.560         -2.43537107       -2.43537107       -8.5261e-12
   106.575         -2.43809427       -2.43809427       -8.6406e-12
   106.590         -2.44073817       -2.44073817       -8.7526e-12
   106.605         -2.44330188       -2.44330188       -8.8618e-12
   106.620         -2.44578453       -2.44578453       -8.9684e-12
   106.635         -2.44818528       -2.44818528       -9.0719e-12
   106.650         -2.45050332       -2.45050332       -9.1731e-12
   106.665         -2.45273785       -2.45273785       -9.2713e-12
   106.680         -2.45488811       -2.45488811       -9.3663e-12
   106.695         -2.45695335       -2.45695335       -9.4587e-12
   106.710         -2.45893287       -2.45893287       -9.5479e-12
   106.725         -2.46082597       -2.46082597       -9.6341e-12
   106.740         -2.46263200       -2.46263200       -9.7171e-12
   106.755         -2.46435032       -2.46435032       -9.7971e-12
   106.770         -2.46598033       -2.46598033       -9.8739e-12
   106.785         -2.46752145       -2.46752145       -9.9476e-12
   106.800         -2.46897313       -2.46897313       -1.0018e-11
   106.815         -2.47033486       -2.47033486       -1.0085e-11
   106.830         -2.47160613       -2.47160613       -1.0149e-11
   106.845         -2.47278650       -2.47278650       -1.0209e-11
   106.860         -2.47387553       -2.47387553       -1.0266e-11
   106.875         -2.47487282       -2.47487282       -1.0320e-11
   106.890         -2.47577799       -2.47577799       -1.0371e-11
   106.905         -2.47659071       -2.47659071       -1.0418e-11
   106.920         -2.47731065       -2.47731065       -1.0462e-11
   106.935         -2.47793755       -2.47793755       -1.0502e-11
   106.950         -2.47847115       -2.47847115       -1.0539e-11
   106.965         -2.47891123       -2.47891123       -1.0572e-11
   106.980         -2.47925760       -2.47925760       -1.0602e-11
   106.995         -2.47951010       -2.47951010       -1.0628e-11
   107.010         -2.47966861       -2.47966861       -1.0651e-11
   107.025         -2.47973303       -2.47973303       -1.0670e-11
   107.040         -2.47970330       -2.47970330       -1.0686e-11
   107.055         -2.47957937       -2.47957937       -1.0698e-11
   107.070         -2.47936126       -2.47936126       -1.0706e-11
   107.085         -2.47904899       -2.47904899       -1.0711e-11
   107.100         -2.47864261       -2.47864261       -1.0712e-11
   107.115         -2.47814222       -2.47814222       -1.0710e-11
   107.130         -2.47754794       -2.47754794       -1.0703e-11
   107.145         -2.47685992       -2.47685992       -1.0694e-11
   107.160         -2.47607835       -2.47607835       -1.0681e-11
   107.175         -2.47520343       -2.47520343       -1.0664e-11
   107.190         -2.47423542       -2.47423542       -1.0644e-11
   107.205         -2.47317459       -2.47317459       -1.0620e-11
   107.220         -2.47202125       -2.47202125       -1.0593e-11
   107.235         -2.47077572       -2.47077572       -1.0562e-11
   107.250         -2.46943837       -2.46943837       -1.0528e-11
   107.265         -2.46800961       -2.46800961       -1.0490e-11
   107.280         -2.46648984       -2.46648984       -1.0448e-11
   107.295         -2.46487954       -2.46487954       -1.0403e-11
   107.310         -2.46317917       -2.46317917       -1.0354e-11
   107.325         -2.46138926       -2.46138926       -1.0302e-11
   107.340         -2.45951033       -2.45951033       -1.0246e-11
   107.355         -2.45754297       -2.45754297       -1.0187e-11
   107.370         -2.45548776       -2.45548776       -1.0125e-11
   107.385         -2.45334533       -2.45334533       -1.0060e-11
   107.400         -2.45111632       -2.45111632       -9.9902e-12
   107.415         -2.44880143       -2.44880143       -9.9178e-12
   107.430         -2.44640135       -2.44640135       -9.8423e-12
   107.445         -2.44391681       -2.44391681       -9.7633e-12
   107.460         -2.44134858       -2.44134858       -9.6807e-12
   107.475         -2.43869743       -2.43869743       -9.5954e-12
   107.490         -2.43596418       -2.43596418       -9.5066e-12
   107.505         -2.43314965       -2.43314965       -9.4151e-12
   107.520         -2.43025470       -2.43025470       -9.3201e-12
   107.535         -2.42728022       -2.42728022       -9.2224e-12
   107.550         -2.42422712       -2.42422712       -9.1216e-12
   107.565         -2.42109632       -2.42109632       -9.0177e-12
   107.580         -2.41788877       -2.41788877       -8.9106e-12
   107.595         -2.41460545       -2.41460545       -8.8010e-12
   107.610         -2.41124736       -2.41124736       -8.6886e-12
   107.625         -2.40781551       -2.40781551       -8.5731e-12
   107.640         -2.40431095       -2.40431095       -8.4550e-12
   107.655         -2.40073474       -2.40073474       -8.3338e-12
   107.670         -2.39708796       -2.39708796       -8.2103e-12
   107.685         -2.39337171       -2.39337171       -8.0838e-12
   107.700         -2.38958712       -2.38958712       -7.9550e-12
   107.715         -2.38573532       -2.38573532       -7.8235e-12
   107.730         -2.38181748       -2.38181748       -7.6894e-12
   107.745         -2.37783477       -2.37783477       -7.5531e-12
   107.760         -2.37378838       -2.37378838       -7.4145e-12
   107.775         -2.36967954       -2.36967954       -7.2737e-12
   107.790         -2.36550947       -2.36550947       -7.1307e-12
   107.805         -2.36127943       -2.36127943       -6.9851e-12
   107.820         -2.35699066       -2.35699066       -6.8376e-12
   107.835         -2.35264445       -2.35264445       -6.6880e-12
   107.850         -2.34824210       -2.34824210       -6.5365e-12
   107.865         -2.34378491       -2.34378491       -6.3829e-12
   107.880         -2.33927420       -2.33927420       -6.2275e-12
   107.895         -2.33471131       -2.33471131       -6.0703e-12
   107.910         -2.33009759       -2.33009759       -5.9113e-12
   107.925         -2.32543440       -2.32543440       -5.7505e-12
   107.940         -2.32072312       -2.32072312       -5.5884e-12
   107.955         -2.31596512       -2.31596512       -5.4245e-12
   107.970         -2.31116182       -2.31116182       -5.2589e-12
   107.985         -2.30631460       -2.30631460       -5.0919e-12
   108.000         -2.30142490       -2.30142490       -4.9236e-12
   108.015         -2.29649414       -2.29649414       -4.7540e-12
   108.030         -2.29152376       -2.29152376       -4.5830e-12
   108.045         -2.28651520       -2.28651520       -4.4111e-12
   108.060         -2.28146992       -2.28146992       -4.2379e-12
   108.075         -2.27638937       -2.27638937       -4.0634e-12
   108.090         -2.27127504       -2.27127504       -3.8880e-12
   108.105         -2.26612838       -2.26612838       -3.7121e-12
   108.120         -2.26095089       -2.26095089       -3.5350e-12
   108.135         -2.25574406       -2.25574406       -3.3573e-12
   108.150         -2.25050937       -2.25050937       -3.1788e-12
   108.165         -2.24524832       -2.24524832       -2.9994e-12
   108.180         -2.23996242       -2.23996242       -2.8200e-12
   108.195         -2.23465316       -2.23465316       -2.6397e-12
   108.210         -2.22932207       -2.22932207       -2.4589e-12
   108.225         -2.22397064       -2.22397064       -2.2777e-12
   108.240         -2.21860040       -2.21860040       -2.0965e-12
   108.255         -2.21321286       -2.21321286       -1.9149e-12
   108.270         -2.20780952       -2.20780952       -1.7333e-12
   108.285         -2.20239192       -2.20239192       -1.5516e-12
   108.300         -2.19696156       -2.19696156       -1.3700e-12
   108.315         -2.19151996       -2.19151996       -1.1888e-12
   108.330         -2.18606864       -2.18606864       -1.0072e-12
   108.345         -2.18060911       -2.18060911       -8.2556e-13
   108.360         -2.17514287       -2.17514287       -6.4482e-13
   108.375         -2.16967144       -2.16967144       -4.6407e-13
   108.390         -2.16419632       -2.16419632       -2.8422e-13
   108.405         -2.15871901       -2.15871901       -1.0436e-13
   108.420         -2.15324101       -2.15324101        7.5051e-14
   108.435         -2.14776382       -2.14776382        2.5357e-13
   108.450         -2.14228890       -2.14228890        4.3165e-13
   108.465         -2.13681776       -2.13681776        6.0885e-13
   108.480         -2.13135185       -2.13135185        7.8559e-13
   108.495         -2.12589265       -2.12589265        9.6101e-13
   108.510         -2.12044162       -2.12044162        1.1355e-12
   108.525         -2.11500021       -2.11500021        1.3092e-12
   108.540         -2.10956986       -2.10956986        1.4815e-12
   108.555         -2.10415200       -2.10415200        1.6525e-12
   108.570         -2.09874805       -2.09874805        1.8225e-12
   108.585         -2.09335944       -2.09335944        1.9913e-12
   108.600         -2.08798757       -2.08798757        2.1587e-12
   108.615         -2.08263382       -2.08263382        2.3248e-12
   108.630         -2.07729958       -2.07729958        2.4891e-12
   108.645         -2.07198621       -2.07198621        2.6525e-12
   108.660         -2.06669506       -2.06669506        2.8137e-12
   108.675         -2.06142749       -2.06142749        2.9741e-12
   108.690         -2.05618482       -2.05618482        3.1322e-12
   108.705         -2.05096836       -2.05096836        3.2889e-12
   108.720         -2.04577941       -2.04577941        3.4439e-12
   108.735         -2.04061925       -2.04061925        3.5967e-12
   108.750         -2.03548915       -2.03548915        3.7477e-12
   108.765         -2.03039037       -2.03039037        3.8969e-12
   108.780         -2.02532414       -2.02532414        4.0439e-12
   108.795         -2.02029167       -2.02029167        4.1891e-12
   108.810         -2.01529416       -2.01529416        4.3321e-12
   108.825         -2.01033280       -2.01033280        4.4729e-12
   108.840         -2.00540875       -2.00540875        4.6114e-12
   108.855         -2.00052316       -2.00052316        4.7478e-12
   108.870         -1.99567714       -1.99567714        4.8817e-12
   108.885         -1.99087181       -1.99087181        5.0133e-12
   108.900         -1.98610824       -1.98610824        5.1426e-12
   108.915         -1.98138751       -1.98138751        5.2693e-12
   108.930         -1.97671065       -1.97671065        5.3937e-12
   108.945         -1.97207868       -1.97207868        5.5154e-12
   108.960         -1.96749261       -1.96749261        5.6344e-12
   108.975         -1.96295341       -1.96295341        5.7510e-12
   108.990         -1.95846203       -1.95846203        5.8649e-12
   109.005         -1.95401941       -1.95401941        5.9761e-12
   109.020         -1.94962646       -1.94962646        6.0847e-12
   109.035         -1.94528405       -1.94528405        6.1904e-12
   109.050         -1.94099304       -1.94099304        6.2934e-12
   109.065         -1.93675428       -1.93675428        6.3936e-12
   109.080         -1.93256857       -1.93256857        6.4910e-12
   109.095         -1.92843670       -1.92843670        6.5854e-12
   109.110         -1.92435943       -1.92435943        6.6771e-12
   109.125         -1.92033749       -1.92033749        6.7659e-12
   109.140         -1.91637159       -1.91637159        6.8519e-12
   109.155         -1.91246241       -1.91246241        6.9347e-12
   109.170         -1.90861061       -1.90861061        7.0146e-12
   109.185         -1.90481682       -1.90481682        7.0914e-12
   109.200         -1.90108164       -1.90108164        7.1654e-12
   109.215         -1.89740565       -1.89740565        7.2362e-12
   109.230         -1.89378939       -1.89378939        7.3039e-12
   109.245         -1.89023339       -1.89023339        7.3686e-12
   109.260         -1.88673813       -1.88673813        7.4301e-12
   109.275         -1.88330408       -1.88330408        7.4885e-12
   109.290         -1.87993169       -1.87993169        7.5437e-12
   109.305         -1.87662135       -1.87662135        7.5959e-12
   109.320         -1.87337345       -1.87337345        7.6450e-12
   109.335         -1.87018834       -1.87018834        7.6907e-12
   109.350         -1.86706635       -1.86706635        7.7336e-12
   109.365         -1.86400776       -1.86400776        7.7731e-12
   109.380         -1.86101285       -1.86101285        7.8093e-12
   109.395         -1.85808186       -1.85808186        7.8424e-12
   109.410         -1.85521499       -1.85521499        7.8724e-12
   109.425         -1.85241243       -1.85241243        7.8992e-12
   109.440         -1.84967432       -1.84967432        7.9228e-12
   109.455         -1.84700079       -1.84700079        7.9434e-12
   109.470         -1.84439194       -1.84439194        7.9607e-12
   109.485         -1.84184783       -1.84184783        7.9750e-12
   109.500         -1.83936849       -1.83936849        7.9861e-12
   109.515         -1.83695395       -1.83695395        7.9940e-12
   109.530         -1.83460417       -1.83460417        7.9989e-12
   109.545         -1.83231910       -1.83231910        8.0007e-12
   109.560         -1.83009869       -1.83009869        7.9994e-12
   109.575         -1.82794281       -1.82794281        7.9949e-12
   109.590         -1.82585134       -1.82585134        7.9874e-12
   109.605         -1.82382411       -1.82382411        7.9767e-12
   109.620         -1.82186094       -1.82186094        7.9630e-12
   109.635         -1.81996162       -1.81996162        7.9463e-12
   109.650         -1.81812590       -1.81812590        7.9265e-12
   109.665         -1.81635351       -1.81635351        7.9039e-12
   109.680         -1.81464416       -1.81464416        7.8781e-12
   109.695         -1.81299752       -1.81299752        7.8495e-12
   109.710         -1.81141325       -1.81141325        7.8182e-12
   109.725         -1.80989096       -1.80989096        7.7838e-12
   109.740         -1.80843026       -1.80843026        7.7465e-12
   109.755         -1.80703073       -1.80703073        7.7065e-12
   109.770         -1.80569191       -1.80569191        7.6636e-12
   109.785         -1.80441333       -1.80441333        7.6181e-12
   109.800         -1.80319448       -1.80319448        7.5697e-12
   109.815         -1.80203484       -1.80203484        7.5187e-12
   109.830         -1.80093387       -1.80093387        7.4649e-12
   109.845         -1.79989099       -1.79989099        7.4085e-12
   109.860         -1.79890561       -1.79890561        7.3495e-12
   109.875         -1.79797712       -1.79797712        7.2879e-12
   109.890         -1.79710487       -1.79710487        7.2240e-12
   109.905         -1.79628821       -1.79628821        7.1574e-12
   109.920         -1.79552645       -1.79552645        7.0883e-12
   109.935         -1.79481889       -1.79481889        7.0168e-12
   109.950         -1.79416482       -1.79416482        6.9429e-12
   109.965         -1.79356349       -1.79356349        6.8667e-12
   109.980         -1.79301414       -1.79301414        6.7881e-12
   109.995         -1.79251600       -1.79251600        6.7075e-12
   110.010         -1.79206825       -1.79206825        6.6247e-12
   110.025         -1.79167010       -1.79167010        6.5397e-12
   110.040         -1.79132071       -1.79132071        6.4524e-12
   110.055         -1.79101923       -1.79101923        6.3631e-12
   110.070         -1.79076480       -1.79076480        6.2719e-12
   110.085         -1.79055653       -1.79055653        6.1786e-12
   110.100         -1.79039354       -1.79039354        6.0834e-12
   110.115         -1.79027492       -1.79027492        5.9863e-12
   110.130         -1.79019974       -1.79019974        5.8873e-12
   110.145         -1.79016708       -1.79016708        5.7867e-12
   110.160         -1.79017597       -1.79017597        5.6843e-12
   110.175         -1.79022547       -1.79022547        5.5802e-12
   110.190         -1.79031461       -1.79031461        5.4745e-12
   110.205         -1.79044239       -1.79044239        5.3673e-12
   110.220         -1.79060785       -1.79060785        5.2585e-12
   110.235         -1.79080997       -1.79080997        5.1483e-12
   110.250         -1.79104774       -1.79104774        5.0366e-12
   110.265         -1.79132016       -1.79132016        4.9238e-12
   110.280         -1.79162619       -1.79162619        4.8095e-12
   110.295         -1.79196481       -1.79196481        4.6940e-12
   110.310         -1.79233498       -1.79233498        4.5772e-12
   110.325         -1.79273566       -1.79273566        4.4595e-12
   110.340         -1.79316581       -1.79316581        4.3405e-12
   110.355         -1.79362437       -1.79362437        4.2206e-12
   110.370         -1.79411029       -1.79411029        4.0998e-12
   110.385         -1.79462252       -1.79462252        3.9782e-12
   110.400         -1.79515999       -1.79515999        3.8556e-12
   110.415         -1.79572166       -1.79572166        3.7321e-12
   110.430         -1.79630645       -1.79630645        3.6080e-12
   110.445         -1.79691330       -1.79691330        3.4832e-12
   110.460         -1.79754117       -1.79754117        3.3580e-12
   110.475         -1.79818898       -1.79818898        3.2321e-12
   110.490         -1.79885569       -1.79885569        3.1057e-12
   110.505         -1.79954024       -1.79954024        2.9790e-12
   110.520         -1.80024157       -1.80024157        2.8517e-12
   110.535         -1.80095865       -1.80095865        2.7243e-12
   110.550         -1.80169042       -1.80169042        2.5966e-12
   110.565         -1.80243586       -1.80243586        2.4687e-12
   110.580         -1.80319393       -1.80319393        2.3408e-12
   110.595         -1.80396360       -1.80396360        2.2127e-12
   110.610         -1.80474386       -1.80474386        2.0846e-12
   110.625         -1.80553370       -1.80553370        1.9564e-12
   110.640         -1.80633211       -1.80633211        1.8285e-12
   110.655         -1.80713811       -1.80713811        1.7006e-12
   110.670         -1.80795070       -1.80795070        1.5730e-12
   110.685         -1.80876891       -1.80876891        1.4455e-12
   110.700         -1.80959178       -1.80959178        1.3183e-12
   110.715         -1.81041836       -1.81041836        1.1915e-12
   110.730         -1.81124771       -1.81124771        1.0651e-12
   110.745         -1.81207890       -1.81207890        9.3925e-13
   110.760         -1.81291100       -1.81291100        8.1379e-13
   110.775         -1.81374313       -1.81374313        6.8900e-13
   110.790         -1.81457439       -1.81457439        5.6488e-13
   110.805         -1.81540391       -1.81540391        4.4142e-13
   110.820         -1.81623083       -1.81623083        3.1863e-13
   110.835         -1.81705430       -1.81705430        1.9673e-13
   110.850         -1.81787349       -1.81787349        7.5495e-14
   110.865         -1.81868760       -1.81868760       -4.4631e-14
   110.880         -1.81949583       -1.81949583       -1.6365e-13
   110.895         -1.82029740       -1.82029740       -2.8177e-13
   110.910         -1.82109155       -1.82109155       -3.9901e-13
   110.925         -1.82187754       -1.82187754       -5.1492e-13
   110.940         -1.82265464       -1.82265464       -6.2972e-13
   110.955         -1.82342215       -1.82342215       -7.4341e-13
   110.970         -1.82417937       -1.82417937       -8.5576e-13
   110.985         -1.82492565       -1.82492565       -9.6700e-13
   111.000         -1.82566034       -1.82566034       -1.0769e-12
   111.015         -1.82638280       -1.82638280       -1.1855e-12
   111.030         -1.82709244       -1.82709244       -1.2925e-12
   111.045         -1.82778866       -1.82778866       -1.3982e-12
   111.060         -1.82847090       -1.82847090       -1.5024e-12
   111.075         -1.82913861       -1.82913861       -1.6047e-12
   111.090         -1.82979127       -1.82979127       -1.7057e-12
   111.105         -1.83042838       -1.83042838       -1.8052e-12
   111.120         -1.83104946       -1.83104946       -1.9029e-12
   111.135         -1.83165405       -1.83165405       -1.9988e-12
   111.150         -1.83224172       -1.83224172       -2.0930e-12
   111.165         -1.83281205       -1.83281205       -2.1854e-12
   111.180         -1.83336464       -1.83336464       -2.2762e-12
   111.195         -1.83389914       -1.83389914       -2.3652e-12
   111.210         -1.83441519       -1.83441519       -2.4523e-12
   111.225         -1.83491247       -1.83491247       -2.5375e-12
   111.240         -1.83539067       -1.83539067       -2.6208e-12
   111.255         -1.83584953       -1.83584953       -2.7023e-12
   111.270         -1.83628877       -1.83628877       -2.7818e-12
   111.285         -1.83670818       -1.83670818       -2.8590e-12
   111.300         -1.83710753       -1.83710753       -2.9345e-12
   111.315         -1.83748664       -1.83748664       -3.0078e-12
   111.330         -1.83784535       -1.83784535       -3.0791e-12
   111.345         -1.83818350       -1.83818350       -3.1481e-12
   111.360         -1.83850097       -1.83850097       -3.2152e-12
   111.375         -1.83879768       -1.83879768       -3.2800e-12
   111.390         -1.83907353       -1.83907353       -3.3429e-12
   111.405         -1.83932848       -1.83932848       -3.4035e-12
   111.420         -1.83956248       -1.83956248       -3.4619e-12
   111.435         -1.83977554       -1.83977554       -3.5181e-12
   111.450         -1.83996764       -1.83996764       -3.5720e-12
   111.465         -1.84013883       -1.84013883       -3.6238e-12
   111.480         -1.84028915       -1.84028915       -3.6733e-12
   111.495         -1.84041868       -1.84041868       -3.7206e-12
   111.510         -1.84052749       -1.84052749       -3.7657e-12
   111.525         -1.84061572       -1.84061572       -3.8085e-12
   111.540         -1.84068347       -1.84068347       -3.8491e-12
   111.555         -1.84073091       -1.84073091       -3.8876e-12
   111.570         -1.84075820       -1.84075820       -3.9238e-12
   111.585         -1.84076553       -1.84076553       -3.9575e-12
   111.600         -1.84075310       -1.84075310       -3.9893e-12
   111.615         -1.84072113       -1.84072113       -4.0186e-12
   111.630         -1.84066986       -1.84066986       -4.0457e-12
   111.645         -1.84059955       -1.84059955       -4.0705e-12
   111.660         -1.84051047       -1.84051047       -4.0929e-12
   111.675         -1.84040291       -1.84040291       -4.1132e-12
   111.690         -1.84027718       -1.84027718       -4.1311e-12
   111.705         -1.84013359       -1.84013359       -4.1469e-12
   111.720         -1.83997247       -1.83997247       -4.1604e-12
   111.735         -1.83979418       -1.83979418       -4.1718e-12
   111.750         -1.83959908       -1.83959908       -4.1809e-12
   111.765         -1.83938754       -1.83938754       -4.1878e-12
   111.780         -1.83915994       -1.83915994       -4.1924e-12
   111.795         -1.83891669       -1.83891669       -4.1949e-12
   111.810         -1.83865820       -1.83865820       -4.1951e-12
   111.825         -1.83838490       -1.83838490       -4.1931e-12
   111.840         -1.83809720       -1.83809720       -4.1891e-12
   111.855         -1.83779556       -1.83779556       -4.1829e-12
   111.870         -1.83748043       -1.83748043       -4.1747e-12
   111.885         -1.83715226       -1.83715226       -4.1642e-12
   111.900         -1.83681153       -1.83681153       -4.1518e-12
   111.915         -1.83645871       -1.83645871       -4.1374e-12
   111.930         -1.83609429       -1.83609429       -4.1209e-12
   111.945         -1.83571876       -1.83571876       -4.1023e-12
   111.960         -1.83533261       -1.83533261       -4.0816e-12
